
Choice Selection: 
Press 1 to use default values: size=2000, threshold= 1000 with generation of 100 keys.
Press 2 to use user values.
Press 3 to read files.
Enter Choice: 1
Finished generating new keys
Test method: allkeys(), but also print values
10204088 Name_18
11098901 Name_89
11291974 Name_10
12777527 Name_59
13118199 Name_17
13757191 Name_83
14950893 Name_33
15061942 Name_87
16263224 Name_52
17867287 Name_77
19617957 Name_57
20724576 Name_43
21259320 Name_70
21650816 Name_2
22387149 Name_31
24525692 Name_81
25441218 Name_38
25526631 Name_28
26253933 Name_79
26860087 Name_76
27803733 Name_40
27884191 Name_50
27942341 Name_98
28091551 Name_16
28517066 Name_71
29090275 Name_26
31140645 Name_65
31761168 Name_56
32711231 Name_20
32747105 Name_100
32871653 Name_73
33002185 Name_46
34338535 Name_12
34884288 Name_94
35173160 Name_7
36283733 Name_5
38046568 Name_35
39763984 Name_15
40054562 Name_6
41258321 Name_1
42245466 Name_25
42425992 Name_74
42852225 Name_21
43395896 Name_48
44307107 Name_80
45003737 Name_54
48629864 Name_27
48957194 Name_95
49119195 Name_75
49672566 Name_96
52159266 Name_60
53726718 Name_47
53736035 Name_66
54061266 Name_30
54580184 Name_86
56491526 Name_88
56607255 Name_92
58193296 Name_45
59820164 Name_19
59906889 Name_97
60280236 Name_61
62317582 Name_78
62903571 Name_14
63463149 Name_9
63658977 Name_3
64343559 Name_41
65169502 Name_63
65333830 Name_91
66123046 Name_64
66761408 Name_22
66913671 Name_11
67926936 Name_44
68671220 Name_23
69396681 Name_42
69962288 Name_67
70345925 Name_58
73147666 Name_68
73426026 Name_13
73966294 Name_55
74057489 Name_8
75149137 Name_93
77086420 Name_53
81085056 Name_4
81637271 Name_85
82659239 Name_69
84042796 Name_51
84638931 Name_32
85386693 Name_82
88093825 Name_39
89072405 Name_49
89949936 Name_72
91622127 Name_36
92435745 Name_37
94079021 Name_34
95452901 Name_84
95455788 Name_62
96494835 Name_29
96994242 Name_90
97073871 Name_99
97323178 Name_24

Test method add(key,value)- 3 times
key=22345678, Add_1
key=42345678, Add_2
key=52345678, Add_3

10204088 Name_18
11098901 Name_89
11291974 Name_10
12777527 Name_59
13118199 Name_17
13757191 Name_83
14950893 Name_33
15061942 Name_87
16263224 Name_52
17867287 Name_77
19617957 Name_57
20724576 Name_43
21259320 Name_70
21650816 Name_2
22345678 Add_1
22387149 Name_31
24525692 Name_81
25441218 Name_38
25526631 Name_28
26253933 Name_79
26860087 Name_76
27803733 Name_40
27884191 Name_50
27942341 Name_98
28091551 Name_16
28517066 Name_71
29090275 Name_26
31140645 Name_65
31761168 Name_56
32711231 Name_20
32747105 Name_100
32871653 Name_73
33002185 Name_46
34338535 Name_12
34884288 Name_94
35173160 Name_7
36283733 Name_5
38046568 Name_35
39763984 Name_15
40054562 Name_6
41258321 Name_1
42245466 Name_25
42345678 Add_2
42425992 Name_74
42852225 Name_21
43395896 Name_48
44307107 Name_80
45003737 Name_54
48629864 Name_27
48957194 Name_95
49119195 Name_75
49672566 Name_96
52159266 Name_60
52345678 Add_3
53726718 Name_47
53736035 Name_66
54061266 Name_30
54580184 Name_86
56491526 Name_88
56607255 Name_92
58193296 Name_45
59820164 Name_19
59906889 Name_97
60280236 Name_61
62317582 Name_78
62903571 Name_14
63463149 Name_9
63658977 Name_3
64343559 Name_41
65169502 Name_63
65333830 Name_91
66123046 Name_64
66761408 Name_22
66913671 Name_11
67926936 Name_44
68671220 Name_23
69396681 Name_42
69962288 Name_67
70345925 Name_58
73147666 Name_68
73426026 Name_13
73966294 Name_55
74057489 Name_8
75149137 Name_93
77086420 Name_53
81085056 Name_4
81637271 Name_85
82659239 Name_69
84042796 Name_51
84638931 Name_32
85386693 Name_82
88093825 Name_39
89072405 Name_49
89949936 Name_72
91622127 Name_36
92435745 Name_37
94079021 Name_34
95452901 Name_84
95455788 Name_62
96494835 Name_29
96994242 Name_90
97073871 Name_99
97323178 Name_24

Test method: remove(key)-2 times
key= 123456783
Last key

10204088 Name_18
11098901 Name_89
11291974 Name_10
12777527 Name_59
13118199 Name_17
13757191 Name_83
14950893 Name_33
15061942 Name_87
16263224 Name_52
17867287 Name_77
19617957 Name_57
20724576 Name_43
21259320 Name_70
21650816 Name_2
22345678 Add_1
22387149 Name_31
24525692 Name_81
25441218 Name_38
25526631 Name_28
26253933 Name_79
26860087 Name_76
27803733 Name_40
27884191 Name_50
27942341 Name_98
28091551 Name_16
28517066 Name_71
29090275 Name_26
31140645 Name_65
31761168 Name_56
32711231 Name_20
32747105 Name_100
32871653 Name_73
33002185 Name_46
34338535 Name_12
34884288 Name_94
35173160 Name_7
36283733 Name_5
38046568 Name_35
39763984 Name_15
40054562 Name_6
41258321 Name_1
42245466 Name_25
42345678 Add_2
42425992 Name_74
42852225 Name_21
43395896 Name_48
44307107 Name_80
45003737 Name_54
48629864 Name_27
48957194 Name_95
49119195 Name_75
49672566 Name_96
52159266 Name_60
52345678 Add_3
53726718 Name_47
53736035 Name_66
54061266 Name_30
54580184 Name_86
56491526 Name_88
56607255 Name_92
58193296 Name_45
59820164 Name_19
59906889 Name_97
60280236 Name_61
62317582 Name_78
62903571 Name_14
63463149 Name_9
63658977 Name_3
64343559 Name_41
65169502 Name_63
65333830 Name_91
66123046 Name_64
66761408 Name_22
66913671 Name_11
67926936 Name_44
68671220 Name_23
69396681 Name_42
69962288 Name_67
70345925 Name_58
73147666 Name_68
73426026 Name_13
73966294 Name_55
74057489 Name_8
75149137 Name_93
77086420 Name_53
81085056 Name_4
81637271 Name_85
82659239 Name_69
84042796 Name_51
84638931 Name_32
85386693 Name_82
88093825 Name_39
89072405 Name_49
89949936 Name_72
91622127 Name_36
92435745 Name_37
94079021 Name_34
95452901 Name_84
95455788 Name_62
96494835 Name_29
96994242 Name_90

First value 10204088: Name_18
Last value  96994242: Name_90

Test method: nextkey(): first key
11098901

Test method: prevkey(): last key
96494835

Test method: rangeKey(key1,key2)

10204088 Name_18
11098901 Name_89
11291974 Name_10
12777527 Name_59
13118199 Name_17
13757191 Name_83
14950893 Name_33
15061942 Name_87
16263224 Name_52
17867287 Name_77
19617957 Name_57
20724576 Name_43
21259320 Name_70
21650816 Name_2
22345678 Add_1
22387149 Name_31
24525692 Name_81
25441218 Name_38
25526631 Name_28
26253933 Name_79
26860087 Name_76
27803733 Name_40
27884191 Name_50
27942341 Name_98
28091551 Name_16
28517066 Name_71
29090275 Name_26
31140645 Name_65
31761168 Name_56
32711231 Name_20
32747105 Name_100
32871653 Name_73
33002185 Name_46
34338535 Name_12
34884288 Name_94
35173160 Name_7
36283733 Name_5
38046568 Name_35
39763984 Name_15
40054562 Name_6
41258321 Name_1
42245466 Name_25
42345678 Add_2
42425992 Name_74
42852225 Name_21
43395896 Name_48
44307107 Name_80
45003737 Name_54
48629864 Name_27
48957194 Name_95
49119195 Name_75
49672566 Name_96
52159266 Name_60
52345678 Add_3
53726718 Name_47
53736035 Name_66
54061266 Name_30
54580184 Name_86
56491526 Name_88
56607255 Name_92
58193296 Name_45
59820164 Name_19
59906889 Name_97
60280236 Name_61
62317582 Name_78
62903571 Name_14
63463149 Name_9
63658977 Name_3
64343559 Name_41
65169502 Name_63
65333830 Name_91
66123046 Name_64
66761408 Name_22
66913671 Name_11
67926936 Name_44
68671220 Name_23
69396681 Name_42
69962288 Name_67
70345925 Name_58
73147666 Name_68
73426026 Name_13
73966294 Name_55
74057489 Name_8
75149137 Name_93
77086420 Name_53
81085056 Name_4
81637271 Name_85
82659239 Name_69
84042796 Name_51
84638931 Name_32
85386693 Name_82
88093825 Name_39
89072405 Name_49
89949936 Name_72
91622127 Name_36
92435745 Name_37
94079021 Name_34
95452901 Name_84
95455788 Name_62
96494835 Name_29
96994242 Name_90
